Platform,Post ID,Post Type,Post Content,Post Timestamp,Likes,Comments,Shares,Impressions,Reach,Engagement Rate,Audience Age,Audience Gender,Audience Location,Audience Interests,Campaign ID,Sentiment,Influencer ID
LinkedIn,f493948e-7b92-4db7-ae77-ed37805f4a18,Video,Level thank guy my.,2023-05-13 01:42:41.376,848,249,39,2391,2033,55.88,26,Other,Egypt,human,,,
Facebook,a344d906-55d0-46ad-9945-79fb9735996e,Image,Call us long evening floor.,2021-12-29 11:00:22.608,574,41,31,8529,1150,56.17,39,Female,Argentina,before,e914ac56-c62d-4a48-979b-fc62ab9ed295,Negative,
Facebook,5faf2d73-23d1-4beb-8725-dfedc728a1e8,Link,Question learn run nearly believe political series.,2021-04-28 10:01:03.073,549,374,98,2118,2409,42.38,44,Male,Norfolk Island,chair,c4de6290-0b01-4646-ba8b-cca498ac1259,,
Facebook,e3b1c35f-bfd8-4298-b255-63507a2afc9a,Video,Conference put put service.,2022-07-11 13:56:42.849,206,442,181,3305,4835,17.15,31,Female,Korea,citizen,274ce814-88f3-46f6-8d56-91ecb569f757,,
Instagram,e297aeff-1051-4613-9e22-5fec7b94ac0a,Image,Parent official public dark study.,2021-07-06 00:46:10.325,605,386,107,8412,1169,93.93,59,Other,Iceland,office,,Positive,
Twitter,03210c56-5d11-4c12-ac74-4f33dcca01ad,Link,Interest never pull trouble throughout.,2023-01-10 17:08:35.876,518,247,58,6117,4464,18.44,53,Male,Turkey,machine,4a53c98c-c025-4c6a-8745-3a487254a326,,
Facebook,fc14e9dd-c5fb-4de6-88ec-07f0b2c8829c,Video,Note star account page interview direction main war.,2022-12-12 17:36:57.755,376,25,172,9855,4202,13.64,34,Female,Sudan,realize,,Positive,
LinkedIn,363d03c7-4e19-4cd1-9413-b99a2a390939,Image,Truth air rest store.,2021-10-16 01:36:17.934,689,144,162,1734,1056,94.22,47,Other,French Guiana,ground,,,
Facebook,598e33e3-59b4-4054-b138-0a5915e8f2c5,Link,Protect save attention short quality.,2022-01-23 11:12:07.928,877,128,78,1384,660,164.09,25,Female,Afghanistan,quality,,Positive,
LinkedIn,2227dcab-53b4-4a5e-90c2-79cd7e853e10,Link,Take cell cell certain decision.,2021-11-28 01:54:39.904,742,198,20,2412,2517,38.14,30,Male,Kazakhstan,actually,ed333906-1664-467d-8c42-87569e2e9ec4,,
