Platform,Post ID,Post Type,Post Content,Post Timestamp,Likes,Comments,Shares,Impressions,Reach,Engagement Rate,Audience Age,Audience Gender,Audience Location,Audience Interests,Campaign ID,Sentiment,Influencer ID
LinkedIn,5008cc75-5c01-44cf-8ad4-d5e255658348,Image,Sense machine ago past.,2024-01-04 07:50:07.440,513,221,120,6560,4301,19.86,32,Male,Singapore,consumer,d9601e4b-5be6-44eb-8216-f972a4371251,Neutral,
LinkedIn,a650c5e9-1948-4afa-bbbc-abfa9de1728a,Link,Organization family after week hot.,2022-07-27 14:04:25.629,344,97,161,7569,1615,37.28,45,Other,Gibraltar,soon,,Positive,67325eaf-81fb-405b-8786-1918430b054d
Instagram,f065ce90-a4fe-4875-9e7f-0b8e6d0ffed5,Link,Together rather how table like.,2023-05-25 15:27:32.194,740,227,153,4186,890,125.84,33,Other,Kiribati,push,,,
Instagram,b39e8d23-af9a-4736-8f1b-7c4cbe863a99,Image,He group energy subject very safe.,2021-10-03 10:00:36.559,877,4,140,5645,3159,32.32,50,Male,Iran,enter,5f8f5934-82e4-4523-8d7f-8f8480dc2a2f,,
Instagram,ab443b0a-ebab-4292-8b36-309eeb7be757,Video,Pay until improve simply.,2024-01-14 01:13:44.119,385,272,36,6883,807,85.87,56,Male,Argentina,career,,,9f33b585-cff9-47c2-8756-37132b964183
Twitter,f404b0ad-1dc5-4a50-a8c3-09b9a8bccae6,Link,Sense run pattern yet customer.,2023-03-10 17:12:09.004,464,428,170,8388,4703,22.58,50,Male,Aruba,wear,,,
LinkedIn,00e380c6-f4cc-4bd1-b0e9-736716b1fe8e,Image,Have body religious.,2022-10-11 03:29:52.052,652,329,51,9821,2912,35.44,55,Female,Paraguay,plan,,,
Facebook,205c3520-0272-42a6-98d4-168c6113c372,Image,Bar clearly camera share network authority road.,2022-02-07 11:12:03.094,243,138,172,3475,1251,44.2,56,Other,Saudi Arabia,sort,,,
Facebook,7b9eb9e5-90fd-4e1e-bcab-3870695acfe8,Image,Summer eight PM dog make.,2024-02-11 22:31:13.017,14,466,114,9067,3404,17.45,59,Male,Hungary,answer,,Positive,
Instagram,3dce4289-0113-4e62-8d26-c69bb7eef9ce,Video,About although draw list another miss.,2021-08-07 09:30:33.058,294,424,45,5500,2040,37.4,31,Other,New Caledonia,cost,,,
Facebook,92792fbe-51e0-4684-8b11-f4715f255536,Link,Drive serve perform she phone international prevent two.,2022-02-20 15:20:30.219,199,442,93,2777,1012,72.53,42,Male,Grenada,far,8635d732-0b84-4ff6-a4f2-84246e403956,Negative,
LinkedIn,ea655202-f4de-4653-abfe-6481ea76cbd4,Video,Enough treat involve admit house.,2023-04-06 07:35:37.253,370,441,133,6532,784,120.41,62,Female,Slovakia (Slovak Republic),president,,Neutral,
LinkedIn,c69a0eaa-fa11-4142-b2c8-59cce0622eff,Link,Single before seven recent knowledge fly pull.,2022-06-27 16:35:58.990,145,52,156,3516,1081,32.65,37,Female,Bulgaria,relate,,Positive,
Twitter,961566aa-e5a7-41bb-bc2d-edeaee1123ac,Link,About pass use understand expert investment.,2022-11-25 01:20:13.151,812,434,72,5258,3107,42.42,27,Female,Lao People's Democratic Republic,toward,,,
Facebook,49bc9b19-a4f6-4a83-b788-14ed8e09af1b,Image,Push serious movement evening.,2022-04-24 05:02:37.315,916,229,85,5444,4896,25.12,38,Other,Estonia,eat,,,
Twitter,1568c275-43b4-407c-942f-ea3c3d1e4452,Video,Official just others.,2023-03-18 20:25:46.655,897,151,186,7205,2226,55.44,57,Male,Mauritius,trade,,,
Twitter,011e6868-98c4-4a8e-98a1-1bd6a729c501,Link,Senior will five know beat born.,2022-11-24 01:29:11.568,0,33,62,9603,786,12.09,59,Female,Saint Helena,southern,,,
Twitter,63896c6e-cae6-41bd-bcc2-d23a16a36233,Image,Employee rest agreement contain particularly.,2022-07-09 14:08:39.128,446,88,73,7326,4778,12.7,37,Female,Barbados,because,776ea19a-91e9-4d8e-94c9-4610c82aacd9,Negative,
LinkedIn,27e38262-cc91-4f93-9975-3f5743d98335,Link,Ask method true such risk whatever bit foreign.,2021-08-03 17:37:44.744,380,23,81,6916,3988,12.14,44,Male,Haiti,decade,,,
Twitter,647afd39-ebc8-48ed-afeb-af4b2c57c7c8,Image,Less concern while anything election success.,2021-04-10 21:40:05.323,769,373,30,5206,578,202.77,54,Female,Tonga,boy,,Positive,
Facebook,cfc7d1a5-b07a-40fe-b338-950b946d5cee,Video,Office station century before foreign your.,2023-09-24 19:38:52.353,302,72,106,6733,980,48.98,65,Other,Mauritania,happy,,,
Twitter,a0eca87c-d908-478b-99b8-1e98d087675b,Video,Experience direction production later attorney.,2021-12-05 00:54:58.150,585,459,54,3585,4951,22.18,42,Other,Mali,far,,,a25e22a3-07ca-4d00-9fe5-ce49cd491a10
Facebook,a1e0a08e-39bf-400d-9727-80659ed48cf9,Link,Ability trial impact young technology.,2023-02-08 20:52:13.259,528,463,86,1418,1828,58.92,19,Other,Jersey,hotel,,Positive,
Instagram,e06d8e0b-77a3-450c-8f01-7a5358a881b4,Video,Notice new cultural myself.,2021-05-22 06:59:42.541,86,219,25,8584,2601,12.69,26,Other,Gibraltar,lose,,Positive,
Twitter,61c45ee0-d2e2-495e-8699-b4540106ed92,Link,Son year good suffer action new.,2022-01-05 21:35:59.492,997,72,9,7344,1064,101.32,28,Other,Solomon Islands,air,,Neutral,
